data_celltemp,data_cellpres,data_co2,data_co2abs,data_h2o,data_h2oabs,data_h2odewpoint,data_ivolt,data_raw_co2_co2ref,data_raw_co2_h2o_h2oref,data_raw_co2_h2o,data_datetimer,data
"5.14112e1","1.00237e2","4.80889e2","9.7236509e-2","2.51824e1","1.3447296e-1","2.11834e1","1.3501586e1","3799103","1925885","","2016-09-30T16:15:44.166125",""
"5.14112e1","1.00237e2","4.80922e2","9.7241163e-2","2.51816e1","1.3447022e-1","2.11829e1","1.3494873e1","3798764","1925822","","2016-09-30T16:15:50.141586",""
"5.14112e1","1.00214e2","4.81071e2","9.7241277e-2","2.51887e1","1.3446855e-1","2.11839e1","1.3515014e1","3798842","1925889","","2016-09-30T16:15:56.119416",""
"5.14112e1","1.00237e2","4.80953e2","9.7245569e-2","2.51809e1","1.3446784e-1","2.11825e1","1.3515014e1","3799051","1925875","","2016-09-30T16:16:02.096278",""
"5.14112e1","1.00214e2","4.81086e2","9.7243423e-2","2.51882e1","1.3446700e-1","2.11836e1","1.3515014e1","3798485","1925914","","2016-09-30T16:16:08.074798",""
"5.14112e1","1.00214e2","4.81096e2","9.7244853e-2","2.51885e1","1.3446784e-1","2.11838e1","1.3508300e1","3799025","1925824","","2016-09-30T16:16:14.050964",""
"5.14112e1","1.00201e2","4.81723e2","9.7320432e-2","2.51571e1","1.3434135e-1","2.11612e1","1.3488159e1","3798993","1925890","","2016-09-30T16:16:31.990967",""
"5.14112e1","1.00201e2","4.81735e2","9.7322101e-2","2.51570e1","1.3434076e-1","2.11611e1","1.3494873e1","3798568","1925795","","2016-09-30T16:16:37.970062",""
"5.14112e1","1.00201e2","4.81748e2","9.7324008e-2","2.51570e1","1.3434100e-1","2.11612e1","1.3501586e1","3798834","1925865","","2016-09-30T16:16:43.960044",""
"5.14112e1","1.00223e2","4.81601e2","9.7324132e-2","2.51489e1","1.3433909e-1","2.11595e1","1.3501586e1","3798542","1925849","","2016-09-30T16:16:49.936962",""
"5.14112e1","1.00201e2","4.81745e2","9.7323532e-2","2.51565e1","1.3433909e-1","2.11608e1","1.3515014e1","3799024","1925868","","2016-09-30T16:16:55.916620",""
"5.14112e1","1.00201e2","4.81759e2","9.7325439e-2","2.51563e1","1.3433849e-1","2.11607e1","1.3515014e1","3798677","1925921","","2016-09-30T16:17:01.901832",""
"5.14112e1","1.00201e2","4.81772e2","9.7327346e-2","2.51560e1","1.3433742e-1","2.11605e1","1.3508300e1","3798888","1925821","","2016-09-30T16:17:07.889101",""
"5.14112e1","1.00223e2","4.81620e2","9.7326869e-2","2.51486e1","1.3433802e-1","2.11593e1","1.3494873e1","3798586","1925870","","2016-09-30T16:27:13.925167",""
"5.14112e1","1.00201e2","4.81754e2","9.7324724e-2","2.51563e1","1.3433837e-1","2.11607e1","1.3515014e1","3798919","1925842","","2016-09-30T16:27:19.912198",""
"5.14112e1","1.00223e2","4.81593e2","9.7323055e-2","2.51485e1","1.3433742e-1","2.11592e1","1.3515014e1","3798661","1925842","","2016-09-30T16:27:25.889078",""
"5.14112e1","1.00187e2","4.81948e2","9.7338438e-2","2.50939e1","1.3410294e-1","2.11180e1","1.3501586e1","3798642","1925777","","2016-09-30T16:27:43.844934",""
"5.14112e1","1.00231e2","4.81634e2","9.7336053e-2","2.50787e1","1.3410234e-1","2.11153e1","1.3515014e1","3798405","1925896","","2016-09-30T16:27:49.823345",""
"5.14112e1","1.00187e2","4.81945e2","9.7338075e-2","2.50931e1","1.3409996e-1","2.11175e1","1.3515014e1","3798629","1925810","","2016-09-30T16:27:55.803847",""
"5.14112e1","1.00187e2","4.81943e2","9.7337722e-2","2.50928e1","1.3409912e-1","2.11173e1","1.3508300e1","3798954","1925832","","2016-09-30T16:28:01.780077",""
"5.14112e1","1.00209e2","4.81791e2","9.7337245e-2","2.50849e1","1.3409757e-1","2.11157e1","1.3515014e1","3798665","1925810","","2016-09-30T16:28:07.757031",""
"5.14112e1","1.00187e2","4.81951e2","9.7338790e-2","2.50923e1","1.3409745e-1","2.11170e1","1.3508300e1","3798758","1925881","","2016-09-30T16:28:13.742050",""
"5.14112e1","1.00209e2","4.81820e2","9.7341299e-2","2.50846e1","1.3409674e-1","2.11156e1","1.3508300e1","3798730","1925810","","2016-09-30T16:28:19.724904",""
"5.14112e1","1.00187e2","4.81966e2","9.7340936e-2","2.50923e1","1.3409721e-1","2.11170e1","1.3494873e1","3798337","1925787","","2016-09-30T16:28:25.704950",""
"5.14112e1","1.00209e2","4.81824e2","9.7341890e-2","2.50852e1","1.3409876e-1","2.11160e1","1.3488159e1","3799135","1925921","","2016-09-30T16:28:31.681103",""
"5.14112e1","1.00165e2","4.82126e2","9.7342605e-2","2.51007e1","1.3410031e-1","2.11188e1","1.3488159e1","3798568","1925876","","2016-09-30T16:28:37.656547",""
"5.14112e1","1.00187e2","4.82014e2","9.7347736e-2","2.50868e1","1.3407802e-1","2.11134e1","1.3494873e1","3799042","1925813","","2016-09-30T16:38:49.723775",""
